Data,Status,Mensagem
2022-01-17,Pendente,Você poderia nos mandar seus dados? Nunca mais compro de vocês!
2022-01-30,Respondido,"Olá, como vai? Você poderia nos mandar seus dados?"
2022-01-21,Em Espera,Preciso que resolvam um problema. Nunca mais compro de vocês!
2022-01-13,Aberto,Gostaria de fazer um pedido. ótima empresa.
2022-01-22,Aberto, Você poderia nos mandar seus dados? Gostaria de fazer um pedido.
2022-01-09,Fechado,Preciso que resolvam um problema. Gostaria de fazer um pedido.
2022-01-24,Fechado,ótima empresa. Pior negócio que ja vi.
2022-01-28,Pendente,"Preciso que resolvam um problema. Olá, como vai?"
2022-01-01,Em Espera,Pior negócio que ja vi. Estou bem chateado.
2022-01-09,Pendente,Estou bem chateado. Pior negócio que ja vi.
2022-01-11,Respondido,Você poderia nos mandar seus dados? ótima empresa.
2022-01-30,Em Espera,"Olá, como vai? Preciso que resolvam um problema."
2022-01-25,Ignorado,"ótima empresa. Olá, como vai?"
2022-01-08,Aberto,Estou bem chateado. Preciso que resolvam um problema.
2022-01-30,Aberto,Estou bem chateado. Gostaria de fazer um pedido.
2022-01-29,Pendente,Pior negócio que ja vi. Preciso que resolvam um problema.
2022-01-06,Em Espera,"ótima empresa. Olá, como vai?"
2022-01-03,Fechado,Estou bem chateado. Você poderia nos mandar seus dados?
2022-01-12,Respondido,Gostaria de fazer um pedido. Preciso que resolvam um problema.
2022-01-06,Ignorado,Preciso que resolvam um problema. Você poderia nos mandar seus dados?
2022-01-22,Em Espera,Preciso que resolvam um problema. Estou bem chateado.
2022-01-11,Aberto,ótima empresa. Pior negócio que ja vi.
2022-01-17,Aberto,ótima empresa. Estou bem chateado.
2022-01-24,Em Espera,Estou bem chateado. Gostaria de fazer um pedido.
2022-01-12,Fechado,Estou bem chateado. Pior negócio que ja vi.
